"customer_id","last_purchase","frequency","monetary"
12346.0,"2011-01-18",12,77556.46
12347.0,"2011-12-07",8,4921.53
12348.0,"2011-09-25",5,2019.40
12349.0,"2011-11-21",4,4428.69
12350.0,"2011-02-02",1,334.40
12351.0,"2010-11-29",1,300.93
12352.0,"2011-11-03",10,2849.84
12353.0,"2011-05-19",2,406.76
12354.0,"2011-04-21",1,1079.40
12355.0,"2011-05-09",2,947.61
12356.0,"2011-11-17",6,6371.73
12357.0,"2011-11-06",3,18287.66
12358.0,"2011-12-08",5,3887.07
12359.0,"2011-10-13",10,8873.39
12360.0,"2011-10-18",8,4252.89
12361.0,"2011-02-25",4,511.25
12362.0,"2011-12-06",11,5356.23
12363.0,"2011-08-22",2,552.00
12364.0,"2011-12-02",4,1313.10
12365.0,"2011-02-21",2,641.38
12366.0,"2010-03-16",1,500.24
12367.0,"2011-12-05",1,168.90
12368.0,"2010-03-21",1,917.70
12369.0,"2010-10-22",3,1791.15
12370.0,"2011-10-19",7,4316.56
12371.0,"2011-10-26",5,4067.38
12372.0,"2011-09-29",3,1298.04
12373.0,"2011-02-01",3,1127.65
12374.0,"2011-11-14",4,2989.22
12375.0,"2011-11-29",2,457.50
12376.0,"2010-11-15",2,503.15
12377.0,"2011-01-28",4,3426.32
12378.0,"2011-08-02",2,5416.32
12379.0,"2011-09-19",4,1620.22
12380.0,"2011-11-18",11,9676.30
12381.0,"2011-12-05",5,1845.31
12383.0,"2011-06-08",5,1850.56
12384.0,"2011-11-11",2,585.27
12385.0,"2010-11-25",1,1938.40
12386.0,"2011-01-06",2,401.90
12387.0,"2010-10-20",1,143.94
12388.0,"2011-11-24",8,3901.11
12389.0,"2010-11-02",3,1433.33
12390.0,"2011-09-21",1,549.84
12391.0,"2011-11-18",6,2724.84
12392.0,"2010-04-27",1,234.75
12393.0,"2011-09-28",6,2399.45
12394.0,"2011-10-07",2,1272.48
12395.0,"2011-11-20",15,4721.17
12396.0,"2010-02-03",1,931.43
12397.0,"2011-11-04",2,2409.90
12398.0,"2011-10-25",1,1635.66
12399.0,"2011-08-12",7,1962.30
12400.0,"2010-10-21",1,205.25
12401.0,"2011-02-09",1,84.30
12402.0,"2011-01-20",6,1256.90
12403.0,"2011-10-21",2,1019.36
12404.0,"2010-01-26",1,63.24
12405.0,"2011-07-14",1,1710.39
12406.0,"2011-11-17",5,6390.36
12407.0,"2011-10-21",5,1708.12
12408.0,"2011-11-07",8,4340.77
12409.0,"2011-09-22",7,23419.29
12410.0,"2011-02-04",3,1013.71
12411.0,"2010-10-26",1,346.90
12412.0,"2011-09-26",6,2596.93
12413.0,"2011-10-04",4,999.45
12414.0,"2011-05-06",6,952.41
12415.0,"2011-11-15",28,144458.37
12416.0,"2010-02-21",1,202.56
12417.0,"2011-12-06",20,6797.41
12418.0,"2011-08-19",4,2021.20
12419.0,"2010-11-19",2,503.01
12420.0,"2011-10-07",1,600.39
12421.0,"2011-11-24",6,1098.60
12422.0,"2011-09-05",17,5231.80
12423.0,"2011-12-09",10,2622.39
12424.0,"2011-06-30",4,3340.03
12425.0,"2011-09-22",2,1741.41
12426.0,"2011-05-29",2,1345.21
12427.0,"2011-11-18",3,825.80
12428.0,"2011-11-14",9,7956.46
12429.0,"2011-11-30",8,6204.41
12430.0,"2011-10-27",1,256.40
12431.0,"2011-11-04",27,10432.22
12432.0,"2011-10-28",5,5059.32
12433.0,"2011-12-09",10,16794.14
12434.0,"2011-09-16",3,1103.43
12435.0,"2011-09-21",6,13925.93
12436.0,"2011-09-01",1,509.01
12437.0,"2011-12-08",39,12683.40
12438.0,"2011-11-25",2,2906.85
12439.0,"2010-01-26",2,1142.88
12440.0,"2010-09-03",2,859.20
12441.0,"2010-12-08",1,173.55
12442.0,"2011-12-06",1,172.06
