"month","orders","units_sold","revenue"
"2009-12-01 00:00:00",1682,425461,822483.95
"2010-01-01 00:00:00",1105,390672,651155.11
"2010-02-01 00:00:00",1201,381879,551504.73
"2010-03-01 00:00:00",1681,526026,830915.26
"2010-04-01 00:00:00",1462,366705,678875.25
"2010-05-01 00:00:00",1500,395868,657705.50
"2010-06-01 00:00:00",1645,406820,749537.31
"2010-07-01 00:00:00",1529,337895,648810.27
"2010-08-01 00:00:00",1425,472380,695251.91
"2010-09-01 00:00:00",1839,583864,921696.99
"2010-10-01 00:00:00",2301,619996,1161902.22
"2010-11-01 00:00:00",2747,725161,1464293.14
"2010-12-01 00:00:00",1559,358019,821452.73
"2011-01-01 00:00:00",1086,387099,689811.61
"2011-02-01 00:00:00",1100,282934,522545.56
"2011-03-01 00:00:00",1454,376599,716215.26
"2011-04-01 00:00:00",1246,307953,536968.49
"2011-05-01 00:00:00",1681,395001,769296.61
"2011-06-01 00:00:00",1533,388511,760547.01
"2011-07-01 00:00:00",1475,399693,718076.12
"2011-08-01 00:00:00",1361,421020,757841.38
"2011-09-01 00:00:00",1837,569573,1056435.19
"2011-10-01 00:00:00",2040,621029,1151263.73
"2011-11-01 00:00:00",2769,751377,1503866.78
"2011-12-01 00:00:00",819,313613,637808.33
