"stockcode","description","units_sold","revenue"
"10002","INFLATABLE POLITICAL GLOBE ",8671,6942.26
"10002R","ROBOT PENCIL SHARPNER",4,20.57
"10080","GROOVY CACTUS INFLATABLE",315,129.29
"10109","BENDY COLOUR PENCILS",4,1.68
"10120","DOGGY RUBBER",664,142.74
"10123C","HEARTS WRAPPING TAPE ",650,254.41
"10123G","ARMY CAMO WRAPPING TAPE",2251,165.56
"10124A","SPOTS ON RED BOOKCOVER TAPE",58,24.36
"10124G","ARMY CAMO BOOKCOVER TAPE",33,14.28
"10125","MINI FUNKY DESIGN TAPES",2103,1715.78
"10133","COLOURING PENCILS BROWN TUBE",3837,2373.26
"10134","COLOURING PENCILS BROWN TUBE",625,721.13
"10135","COLOURING PENCILS BROWN TUBE",4226,4566.21
"10138","ASSORTED COLOUR JUMBO PEN",261,111.22
"11001","ASSTD DESIGN RACING CAR PEN",4829,7408.65
"15030","FAN BLACK FRAME ",254,73.66
"15034","PAPER POCKET TRAVELING FAN ",10153,1416.26
"15036","ASSORTED COLOURS SILK FAN",44272,32967.03
"15039","SANDALWOOD FAN",5101,4345.62
"15044A","PINK PAPER PARASOL ",4964,13210.85
"15044B","BLUE PAPER PARASOL ",1670,4644.13
"15044C","PURPLE PAPER PARASOL",967,3027.26
"15044D","RED PAPER PARASOL",1596,4559.65
"15056bl","EDWARDIAN PARASOL BLACK",116,1456.32
"15056BL","EDWARDIAN PARASOL BLACK",9504,47267.45
"15056n","EDWARDIAN PARASOL NATURAL",173,2170.40
"15056N","EDWARDIAN PARASOL NATURAL",11286,57975.45
"15056p","EDWARDIAN PARASOL PINK",46,577.84
"15056P","EDWARDIAN PARASOL PINK",2473,12228.92
"15058A","BLUE POLKADOT GARDEN PARASOL",200,1668.49
"15058A","BLUE WHITE SPOTS GARDEN PARASOL",276,1485.24
"15058B","PINK POLKADOT GARDEN PARASOL",234,1932.97
"15058B","PINK WHITE SPOTS GARDEN PARASOL",204,1394.70
"15058C","ICE CREAM DESIGN GARDEN PARASOL",470,2753.72
"15059A","ENGLISH ROSE EDWARDIAN PARASOL",509,1567.00
"15060b","FAIRY CAKE DESIGN UMBRELLA",5,41.81
"15060B","FAIRY CAKE DESIGN UMBRELLA",1414,6444.98
"16008","SMALL FOLDING SCISSOR(POINTED EDGE)",3141,422.96
"16010","FOLDING CAMPING SCISSOR W/KNIF & S",32,3.84
"16011"," ANIMAL STICKERS",385,80.85
"16011","ANIMAL STICKERS",3427,718.47
"16012","FOOD/DRINK SPONGE STICKERS",2142,449.82
"16012","FOOD/DRINK SPUNGE STICKERS",759,158.19
"16014","SMALL CHINESE STYLE SCISSOR",29355,9513.10
"16015","MEDIUM CHINESE STYLE SCISSOR",1572,711.38
"16016","LARGE CHINESE STYLE SCISSOR",2314,1870.70
"16020C","CLEAR STATIONERY BOX SET ",160,134.50
"16033","MINI HIGHLIGHTER PENS",15121,1544.52
"16043","POP ART PUSH DOWN RUBBER ",2145,180.30
"16044","POP-ART FLUORESCENT PENS",6193,389.22
"16045","POPART WOODEN PENCILS ASST",9312,429.44
"16046","TEATIME PEN CASE & PENS",10056,1223.50
"16047","POP ART PEN CASE & PENS",10612,1054.70
"16048","TEATIME ROUND PENCIL SHARPENER ",3461,537.06
"16049","TEATIME GEL PENS ASST",3169,560.48
"16050","TEATIME PENCIL WITH RUBBER",151,46.45
"16051","TEATIME PENCIL W STAMP ASST",941,84.69
"16052","TEATIME PUSH DOWN RUBBER",848,281.32
"16053","POPART COL BALLPOINT PEN ASST",4313,185.73
"16054","POPART RECT PENCIL SHARPENER ASST",1210,159.00
"16119","FUNKY GIRL ADDRESS BOOK",273,130.71
"16151A","FLOWER DES BLUE HANDBAG/ORANG HANDL",3,11.25
"16151A","FLOWERS HANDBAG blue and orange",49,61.25
"16156L","WRAP CAROUSEL",375,157.50
"16156L","WRAP, CAROUSEL",575,241.50
"16156N","WRAP, FRIENDSHIP ON GREEN",1475,619.50
"16156S","WRAP PINK FAIRY CAKES ",16661,6558.62
"16161C","WRAP SPEED DEMONS ",450,45.00
"16161E","WRAP BOUDOIR ",750,75.00
"16161G","WRAP BAD HAIR DAY",975,97.50
"16161M","WRAP  PINK FLOCK",1050,439.00
"16161P","WRAP ENGLISH ROSE ",13198,5435.40
"16161U","WRAP SUKI AND FRIENDS",6676,2721.92
"16161U","WRAP,SUKI AND FRIENDS",3350,1363.00
"16162L","THE KING GIFT BAG",8101,570.43
"16162M","THE KING GIFT BAG 25x24x12cm",88,36.96
"16168M","FUNKY MONKEY GIFT BAG MEDIUM",1686,512.38
"16168S","FUNKY MONKEY GIFT BAG SMALL",1283,126.83
"16169A","WRAP CHRISTMAS DECOUPAGE",25,10.50
"16169C","WRAP BLUE REINDEER",1350,567.00
"16169D","WRAP WINTER FOREST",250,105.00
"16169E","WRAP 50'S  CHRISTMAS",4563,1892.46
"16169F","WRAP BLIZZARD",975,409.50
"16169G","WRAP ROMANTIC DECOUPAGE",25,10.50
"16169K","WRAP FOLK ART",2075,658.75
"16169M","WRAP DAISY CARPET ",2060,640.95
"16169N","WRAP BLUE RUSSIAN FOLKART",2025,626.25
"16169P","WRAP GREEN RUSSIAN FOLKART ",1750,533.75
"16192","PINK BALLET OPENING CUBE BOX ",3,12.90
"16201A","PASTEL PINK PHOTO ALBUM",101,213.37
"16201B","PASTEL BLUE PHOTO ALBUM",34,81.10
"16202A","PASTEL PINK PHOTO ALBUM ",662,290.45
"16202B","PASTEL BLUE PHOTO ALBUM ",1039,528.56
"16202C","BEIGE PHOTO ALBUM",97,230.59
"16202E","BLACK PHOTO ALBUM ",82,162.73
"16206B","RED PURSE WITH PINK HEART",96,116.40
"16207A","PINK STRAWBERRY HANDBAG ",143,423.53
"16207B","PINK HEART RED HANDBAG",265,457.65
"16212","FUNKY GIRLZ ASST MAGNETIC MEMO PAD",366,287.01
"16215","FUNKY GIRLZ MAGNETIC TO DO LIST ",8,5.20
"16216","LETTER SHAPE PENCIL SHARPENER",4158,371.64
"16218","CARTOON  PENCIL SHARPENERS",4629,448.13
"16219","HOUSE SHAPE PENCIL SHARPENER",3357,499.55
"16225","RATTLE SNAKE EGGS",1520,1271.66
"16235","RECYCLED PENCIL WITH RABBIT ERASER",5827,1333.95
"16236","KITTY PENCIL ERASERS",2652,593.29
"16237","SLEEPING CAT ERASERS",10385,2233.15
"16238","PARTY TIME PENCIL ERASERS",2447,559.54
"16239","BALLERINA HEART DECORATION.",347,492.17
"16243B","BROWN COZY SQUARE PHOTO ALBUM",212,441.77
"16244A","MAXWELL 2 TONE PINK 60 PAGE PHOTO A",186,479.41
"16244B","MAXWELL 2 TONE BLUE 60 PAGE PHOTO A",345,765.02
"16245A","PINK MINI STATIONERY SET W CASE",11,13.75
"16248B","BLUE HOLE PUNCH",81,101.25
"16254","TRANSPARENT ACRYLIC TAPE DISPENSER",941,305.66
"16256B","FLOWER PENCIL/RUBBER+5 MINI PENCILS",524,232.35
"16256C","HEARTS PENCIL/RUBBER+5 MINI PENCILS",169,70.98
"16258A","SWIRLY CIRCULAR RUBBERS IN BAG",1063,375.93
"16258B","DAISY ERASERS IN BAG",1016,221.06
"16259","PIECE OF CAMO STATIONERY SET",5473,766.09
"17001","HEAVENS SCENT FRAGRANCE OILS ASSTD",1211,299.35
"17003","BROCADE RING PURSE ",70369,14766.42
