"country","orders","units_sold","revenue"
"Australia",95,103759,169283.46
"Austria",45,11578,23613.01
"Bahrain",10,1339,3109.79
"Belgium",149,34768,65387.82
"Bermuda",1,2798,1253.14
"Brazil",2,545,1411.87
"Canada",8,3657,4883.04
"Channel Islands",55,21396,44623.33
"Cyprus",37,10950,24849.95
"Czech Republic",2,671,826.74
"Denmark",43,237471,68580.69
"EIRE",626,336329,658767.31
"European Community",4,499,1300.25
"Finland",57,14375,29925.54
"France",622,271901,350456.09
"Germany",789,225154,425019.71
"Greece",18,7724,19096.19
"Hong Kong",15,7021,23685.52
"Iceland",8,2967,4921.53
"Israel",10,5538,11328.81
"Italy",65,15312,32108.17
"Japan",33,31643,43023.91
"Korea",2,700,1118.51
"Lebanon",2,458,1905.58
"Lithuania",6,2306,4892.68
"Malta",9,2519,8099.09
"Netherlands",228,383879,554038.09
"Nigeria",2,103,140.39
"Norway",45,23621,56322.50
"Poland",28,5688,10654.29
"Portugal",95,27719,56283.53
"RSA",4,1970,4804.32
"Saudi Arabia",1,80,145.92
"Singapore",11,6994,25317.06
"Spain",154,50307,108332.49
"Sweden",105,88633,91869.82
"Switzerland",93,52762,100685.59
"Thailand",2,2552,3070.54
"United Arab Emirates",16,7321,11097.63
"United Kingdom",36535,9187753,17410196.12
"Unspecified",24,6729,10927.16
"USA",20,5264,8366.86
"West Indies",1,395,536.41
